Year,Semester,Subject,Catalog #,Section,Title,Class #,Intructor 1,Intructor 2,Instructor 3,Intructor 4,Intructor 5,Component,Type,Units,Requisites,Wait List,Fees,Seats Available,Days 1,Start 1,End 1,Building 1,Room 1,Days 2,Start 2,End 2,Building 2,Room 2,Days 3,Start 3,End 3,Building 3,Room 3,Days 4,Start 4,End 4,Building 4,Room 4,Days 5,Start 5,End 5,Building 5,Room 5,Session,Meets With 1,Meets With 2,Meets With 3,Meets With 4,Meets With 5,Meets With 6,Meets With 7,Meets With 8,Meets With 9
2000,Spring,AEROS,4011,002,Ntl Security Afrs II,6244,"BIRRI, TRACEY",,,,,Laboratory,In Person,--,,No,,94,H,15:10:00,17:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Spring,AEROS,4111,001,POC Ldrshp Lab IV,6245,"BIRRI, TRACEY",,,,,Laboratory,In Person,1.0,,No,,21,H,15:10:00,17:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Spring,AEROS,4990,001,Directed Study,2111,"MCMULLIN, MARY",,,,,Lecture,In Person,1.0 -   5.0,,No,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Fall,AEROS,1010,001,USAF Foundations,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,12,H,14:10:00,15:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 1110 001,,,,,,,,
2000,Fall,AEROS,1010,002,USAF Foundations,5568,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,12,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1110 002,AEROS 2010 002,AEROS 2110 002,AEROS 3010 002,AEROS 3110 002,AEROS 4010 002,AEROS 4110 002,,
2000,Fall,AEROS,1110,001,Gen Mil Ldrshp Lab I,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,25,H,14:10:00,15:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 001,,,,,,,,
2000,Fall,AEROS,1110,002,Gen Mil Ldrshp Lab I,1502,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,25,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 2010 002,AEROS 2110 002,AEROS 3010 002,AEROS 3110 002,AEROS 4010 002,AEROS 4110 002,,
2000,Fall,AEROS,2006,001,AFROTC Pt,2895,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,100,"T,TH",06:00:00,06:50:00,HPR E,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Fall,AEROS,2010,001,Airpower History I,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,91,H,13:10:00,14:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 2110 001,,,,,,,,
2000,Fall,AEROS,2010,002,Airpower History I,5569,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,91,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 1110 002,AEROS 2110 002,AEROS 3010 002,AEROS 3110 002,AEROS 4010 002,AEROS 4110 002,,
2000,Fall,AEROS,2110,001,Gen Mil Ldrshp Lab III,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,98,H,13:10:00,14:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 2010 001,,,,,,,,
2000,Fall,AEROS,2110,002,Gen Mil Ldrshp Lab III,1505,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,98,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 1110 002,AEROS 2010 002,AEROS 3010 002,AEROS 3110 002,AEROS 4010 002,AEROS 4110 002,,
2000,Fall,AEROS,3000,001,AFROTC Field Training,10977,"HITZLER, RYEN S",,,,,Lecture,In Person,--,Yes,No,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Fall,AEROS,3010,001,Leadership Studies I,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,17,H,12:25:00,15:00:00,HPR N,226,,,,,,,,,,,,,,,,,,,,,,AEROS 3110 001,,,,,,,,
2000,Fall,AEROS,3010,002,Leadership Studies I,5570,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,48,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 1110 002,AEROS 2010 002,AEROS 2110 002,AEROS 3110 002,AEROS 4010 002,AEROS 4110 002,,
2000,Fall,AEROS,3110,001,POC Ldrshp Lab I,,"HITZLER, RYEN S",,,,,Lecture,In Person,1.0,,No,,96,H,12:25:00,15:00:00,HPR N,226,,,,,,,,,,,,,,,,,,,,,,AEROS 3010 001,,,,,,,,
2000,Fall,AEROS,3110,002,POC Ldrshp Lab I,1506,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,96,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 1110 002,AEROS 2010 002,AEROS 2110 002,AEROS 3010 002,AEROS 4010 002,AEROS 4110 002,,
2000,Fall,AEROS,4010,001,Ntl Security Afrs I,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,89,H,12:10:00,15:00:00,2039,,,,,,,,,,,,,,,,,,,,,,,AEROS 4110 001,,,,,,,,
2000,Fall,AEROS,4010,002,Ntl Security Afrs I,5571,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,89,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 1110 002,AEROS 2010 002,AEROS 2110 002,AEROS 3010 002,AEROS 3110 002,AEROS 4110 002,,
2000,Fall,AEROS,4110,001,POC Ldrshp Lab III,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,96,H,12:10:00,15:00:00,2039,,,,,,,,,,,,,,,,,,,,,,,AEROS 4010 001,,,,,,,,
2000,Fall,AEROS,4110,002,POC Ldrshp Lab III,1510,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,96,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 1110 002,AEROS 2010 002,AEROS 2110 002,AEROS 3010 002,AEROS 3110 002,AEROS 4010 002,,
2000,Fall,AEROS,4990,001,Directed Study,2924,"MCMULLIN, MICHAEL C",,,,,Lecture,In Person,--,,No,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Spring,AEROS,1011,001,Foundations of USAF II,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,11,H,14:15:00,15:05:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Spring,AEROS,1011,002,Foundations of USAF II,5605,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,11,H,15:30:00,17:30:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 1111 001,AEROS 2011 002,AEROS 2111 001,AEROS 3011 002,AEROS 3111 001,AEROS 4011 002,AEROS 4111 001,,
2001,Spring,AEROS,1111,001,Gen Mil Ldrshp Lab II,5606,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,22,H,15:30:00,17:30:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 1011 002,AEROS 2011 002,AEROS 2111 001,AEROS 3011 002,AEROS 3111 001,AEROS 4011 002,AEROS 4111 001,,
2001,Spring,AEROS,2006,001,AFROTC Pt,1993,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,100,TH,06:00:00,06:50:00,HPR E,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Spring,AEROS,2011,001,Airpower History II,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,17,H,13:10:00,14:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Spring,AEROS,2011,002,Airpower History II,5608,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,17,H,15:30:00,17:30:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 1011 002,AEROS 1111 001,AEROS 2111 001,AEROS 3011 002,AEROS 3111 001,AEROS 4011 002,AEROS 4111 001,,
2001,Spring,AEROS,2111,001,Gen Mil Ldrshp Lab IV,5609,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,23,H,15:30:00,17:30:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 1011 002,AEROS 1111 001,AEROS 2011 002,AEROS 3011 002,AEROS 3111 001,AEROS 4011 002,AEROS 4111 001,,
2001,Spring,AEROS,3000,001,AFROTC Field Training,9550,"HITZLER, RYEN S",,,,,Lecture,In Person,--,Yes,No,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Spring,AEROS,3011,001,Leadership Studies II,,"SOTTO, RICHARD",,,,,Lecture,In Person,--,,No,,15,H,12:30:00,15:05:00,2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Spring,AEROS,3011,002,Leadership Studies II,5611,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,15,H,15:30:00,17:30:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 1011 002,AEROS 1111 001,AEROS 2011 002,AEROS 2111 001,AEROS 3111 001,AEROS 4011 002,AEROS 4111 001,,
2001,Spring,AEROS,3111,001,POC Ldrshp Lab II,6993,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,21,H,15:30:00,17:30:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 1011 002,AEROS 1111 001,AEROS 2011 002,AEROS 2111 001,AEROS 3011 002,AEROS 4011 002,AEROS 4111 001,,
2001,Spring,AEROS,4011,001,Ntl Security Afrs II,,"MCMULLIN, MICHAEL C",,,,,Lecture,In Person,--,,No,,13,H,12:10:00,15:00:00,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Spring,AEROS,4011,002,Ntl Security Afrs II,5613,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,13,H,15:30:00,17:30:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 1011 002,AEROS 1111 001,AEROS 2011 002,AEROS 2111 001,AEROS 3011 002,AEROS 3111 001,AEROS 4111 001,,
2001,Spring,AEROS,4111,001,POC Ldrshp Lab IV,5614,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,19,H,15:30:00,17:30:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 1011 002,AEROS 1111 001,AEROS 2011 002,AEROS 2111 001,AEROS 3011 002,AEROS 3111 001,AEROS 4011 002,,
2001,Spring,AEROS,4990,001,Directed Study,2018,"MCMULLIN, MARY",,,,,Lecture,In Person,--,,No,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Fall,AEROS,1010,001,USAF Foundations,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,4,H,14:10:00,15:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Fall,AEROS,1010,002,USAF Foundations,5000,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,3,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1110 002,AEROS 2010 002,AEROS 2110 002,AEROS 3010 002,AEROS 3110 002,AEROS 4010 002,AEROS 4110 002,,
2001,Fall,AEROS,1110,001,Gen Mil Ldrshp Lab I,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,10,H,15:10:00,17:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 2110 001,,,,,,,,
2001,Fall,AEROS,1110,002,Gen Mil Ldrshp Lab I,1456,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,8,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 2010 002,AEROS 2110 002,AEROS 3010 002,AEROS 3110 002,AEROS 4010 002,AEROS 4110 002,,
2001,Fall,AEROS,2006,001,AFROTC Pt,2686,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,100,"T,TH",06:00:00,06:50:00,HPR E,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Fall,AEROS,2010,001,Airpower History I,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,92,H,13:10:00,14:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Fall,AEROS,2010,002,Airpower History I,5001,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,92,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 1110 002,AEROS 2110 002,AEROS 3010 002,AEROS 3110 002,AEROS 4010 002,AEROS 4110 002,,
2001,Fall,AEROS,2110,001,Gen Mil Ldrshp Lab III,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,95,H,15:10:00,17:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 1110 001,,,,,,,,
2001,Fall,AEROS,2110,002,Gen Mil Ldrshp Lab III,1459,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,95,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 1110 002,AEROS 2010 002,AEROS 3010 002,AEROS 3110 002,AEROS 4010 002,AEROS 4110 002,,
2001,Fall,AEROS,3000,001,AFROTC Field Training,9157,"HITZLER, RYEN S",,,,,Lecture,In Person,--,Yes,No,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Fall,AEROS,3010,001,Leadership Studies I,,"SOTTO, RICHARD B",,,,,Lecture,In Person,--,,No,,14,H,12:25:00,15:00:00,2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Fall,AEROS,3010,002,Leadership Studies I,5002,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,44,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 1110 002,AEROS 2010 002,AEROS 2110 002,AEROS 3110 002,AEROS 4010 002,AEROS 4110 002,,
2001,Fall,AEROS,3110,001,POC Ldrshp Lab I,,"SOTTO, RICHARD B",,,,,Lecture,In Person,--,,No,,92,H,15:10:00,17:00:00,2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Fall,AEROS,3110,002,POC Ldrshp Lab I,1460,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,90,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 1110 002,AEROS 2010 002,AEROS 2110 002,AEROS 3010 002,AEROS 4010 002,AEROS 4110 002,,
2001,Fall,AEROS,4010,001,Ntl Security Afrs I,,"MCMULLIN, MICHAEL C",,,,,Lecture,In Person,--,,No,,89,H,12:10:00,15:00:00,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Fall,AEROS,4010,002,Ntl Security Afrs I,5003,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,86,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 1110 002,AEROS 2010 002,AEROS 2110 002,AEROS 3010 002,AEROS 3110 002,AEROS 4110 002,,
2001,Fall,AEROS,4110,001,POC Ldrshp Lab III,,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,95,H,15:10:00,17:00:00,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Fall,AEROS,4110,002,POC Ldrshp Lab III,1463,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,93,H,15:10:00,17:00:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1010 002,AEROS 1110 002,AEROS 2010 002,AEROS 2110 002,AEROS 3010 002,AEROS 3110 002,AEROS 4010 002,,
2001,Fall,AEROS,4990,001,Directed Study,2712,"MCMULLIN, MICHAEL C",,,,,Lecture,In Person,--,,No,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spring,AEROS,1011,001,Foundations of USAF II,4959,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,11,H,14:15:00,15:05:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spring,AEROS,1011,002,Foundations of USAF II,14084,"HITZLER, RYEN S",,,,,Lecture,In Person,1.0,,No,,23,T,08:00:00,08:50:00,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spring,AEROS,1111,001,Gen Mil Ldrshp Lab II,4961,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,11,H,15:30:00,17:30:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 2111 001,AEROS 3111 001,AEROS 4111 001,,,,,,
2002,Spring,AEROS,2006,001,AFROTC Pt,1881,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,100,TH,06:00:00,06:50:00,HPR E,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spring,AEROS,2011,001,Airpower History II,4962,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,15,H,13:10:00,14:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spring,AEROS,2011,002,Airpower History II,14085,"HITZLER, RYEN S",,,,,Lecture,In Person,1.0,,No,,25,T,09:00:00,09:50:00,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spring,AEROS,2111,001,Gen Mil Ldrshp Lab IV,4964,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,15,H,15:30:00,17:30:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1111 001,AEROS 3111 001,AEROS 4111 001,,,,,,
2002,Spring,AEROS,3000,001,AFROTC Field Training,8326,"HITZLER, RYEN S",,,,,Lecture,In Person,--,Yes,No,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spring,AEROS,3011,001,Leadership Studies II,4965,"SOTTO, RICHARD",,,,,Lecture,In Person,--,,No,,13,H,12:10:00,15:00:00,ST,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spring,AEROS,3111,001,POC Ldrshp Lab II,6147,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,13,H,15:30:00,17:30:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1111 001,AEROS 2111 001,AEROS 4111 001,,,,,,
2002,Spring,AEROS,4011,001,Ntl Security Afrs II,4967,"MCMULLIN, MICHAEL C",,,,,Lecture,In Person,--,,No,,13,H,12:10:00,15:00:00,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Spring,AEROS,4111,001,POC Ldrshp Lab IV,4969,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,14,H,15:30:00,17:30:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1111 001,AEROS 2111 001,AEROS 3111 001,,,,,,
2002,Spring,AEROS,4990,001,Directed Study,1905,"MCMULLIN, MARY",,,,,Lecture,In Person,1.0 -   5.0,,No,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Fall,AEROS,1010,001,USAF Foundations,1407,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,4,W,14:00:00,14:50:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Fall,AEROS,1110,001,Gen Mil Ldrshp Lab I,9143,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,7,H,15:40:00,17:30:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Fall,AEROS,2006,001,AFROTC Pt,2523,"HITZLER, RYEN S",,,,,Laboratory,In Person,--,,No,,100,TH,06:00:00,06:50:00,HPR E,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Fall,AEROS,2010,001,Airpower History I,1410,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,85,H,13:10:00,14:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Fall,AEROS,2110,001,Gen Mil Ldrshp Lab III,9144,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,89,H,15:40:00,17:30:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Fall,AEROS,3000,001,AFROTC Field Training,8416,"HITZLER, RYEN S",,,,,Lecture,In Person,--,Yes,No,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Fall,AEROS,3010,001,Leadership Studies I,1412,"SOTTO, RICHARD B",,,,,Lecture,In Person,--,,No,,10,H,12:25:00,15:20:00,2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Fall,AEROS,3110,001,POC Ldrshp Lab I,9145,"SOTTO, RICHARD B",,,,,Lecture,In Person,--,,No,,84,H,15:40:00,17:30:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Fall,AEROS,4010,001,Ntl Security Afrs I,1414,"MCMULLIN, MICHAEL C",,,,,Lecture,In Person,--,,No,,91,H,12:25:00,15:20:00,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Fall,AEROS,4110,001,POC Ldrshp Lab III,9146,"HITZLER, RYEN S",,,,,Lecture,In Person,--,,No,,92,H,15:40:00,17:30:00,PAB,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Fall,AEROS,4990,001,Directed Study,2549,"MCMULLIN, MICHAEL C",,,,,Lecture,In Person,--,,No,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Spring,AEROS,1011,001,Foundations of USAF II,4618,"MUSSER, DAVID A",,,,,Lecture,In Person,1.0,,No,,9,H,14:15:00,15:05:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Spring,AEROS,1111,001,Gen Mil Ldrshp Lab II,4619,"MUSSER, DAVID A",,,,,Laboratory,In Person,1.0,,No,,12,H,15:30:00,17:30:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 2111 001,,,,,,,,
2003,Spring,AEROS,2006,001,AFROTC Pt,1805,"MUSSER, DAVID A",,,,,Laboratory,In Person,1.0,,No,,100,TH,06:00:00,06:50:00,HPR E,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Spring,AEROS,2011,001,Airpower History II,4620,"MUSSER, DAVID A",,,,,Lecture,In Person,1.0,,No,,12,H,13:10:00,14:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Spring,AEROS,2111,001,Gen Mil Ldrshp Lab IV,4621,"MUSSER, DAVID A",,,,,Laboratory,In Person,1.0,,No,,13,H,15:30:00,17:30:00,HPR W,116,,,,,,,,,,,,,,,,,,,,,,AEROS 1111 001,,,,,,,,
2003,Spring,AEROS,3000,001,AFROTC Field Training,7637,"MUSSER, DAVID A",,,,,Lecture,In Person,4.0,Yes,No,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Spring,AEROS,3011,001,Leadership Studies II,4622,"WEST, DAVID W",,,,,Lecture,In Person,3.0,,No,,12,H,12:10:00,15:00:00,ST,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Spring,AEROS,3111,001,POC Ldrshp Lab II,5657,"MUSSER, DAVID A",,,,,Laboratory,In Person,1.0,,No,,14,H,15:30:00,17:30:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,AEROS 4111 001,,,,,,,,
2003,Spring,AEROS,4011,001,Ntl Security Afrs II,4623,"MARTIN, TIMOTHY C",,,,,Lecture,In Person,3.0,,No,,16,H,12:10:00,15:00:00,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
